generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_defensive_wall,archetype_speed_sweeper,archetype_balanced_all-rounder,archetype_defensive_pivot,archetype_fast_attacker,archetype_generalist
82,0.7092916931621671,0.7210142548064484,0.030581576071531558,2.542740278498934,100.0,147,154,149,155,149,146
83,0.7108025546628571,0.7210142548064484,0.028573484354320618,2.551629167387823,100.0,153,145,151,151,149,151
84,0.7072341049092579,0.7210142548064484,0.03482206011859835,2.542740278498934,100.0,155,149,149,148,152,147
85,0.7085564691122272,0.7210142548064484,0.03173246469314719,2.542740278498934,100.0,149,151,149,153,150,148
86,0.7124529712708263,0.7210142548064484,0.03059633007491612,2.5582958340544892,100.0,149,149,152,151,148,151
87,0.7100379809348264,0.7210142548064484,0.03225407492907314,2.553851389610045,100.0,153,148,149,149,150,151
88,0.7079069821822388,0.7236733020676571,0.03378249337166211,2.5494069451656007,100.0,152,151,151,150,148,148
89,0.7037342969205153,0.7236733020676571,0.03943930157315342,2.533851389610045,100.0,156,152,149,149,150,144
90,0.7085195315113268,0.7236733020676571,0.03375680471572663,2.5494069451656007,100.0,154,150,148,150,151,147
91,0.709663293476479,0.7236733020676571,0.02994227619145831,2.5449625007211556,100.0,152,153,148,152,146,149
92,0.7080434786638727,0.7236733020676571,0.031129614106345873,2.5405180562767113,100.0,151,152,145,152,151,149
93,0.7119614686889563,0.7236733020676571,0.03203149139200051,2.553851389610045,100.0,156,151,146,150,147,150
94,0.7123414202372191,0.7236733020676571,0.03134200394730204,2.5449625007211556,100.0,149,154,148,150,150,149
95,0.707496607578869,0.7236733020676571,0.036646707059405856,2.533851389610045,100.0,157,151,151,148,142,151
96,0.7111228267346146,0.7236733020676571,0.032619813494110174,2.5449625007211565,100.0,153,152,149,151,151,144
97,0.7080339988063957,0.7236733020676571,0.036453517828054914,2.533851389610045,100.0,147,151,148,152,150,152
98,0.7117561332489208,0.7236733020676571,0.03184824183417096,2.544962500721156,100.0,149,148,149,152,153,149
99,0.7093044940410118,0.7236733020676571,0.035019252950235176,2.544962500721156,100.0,154,149,148,151,147,151
100,0.7092597554913831,0.7236733020676571,0.034881675409508275,2.5405180562767113,100.0,147,150,149,150,151,153
101,0.7098861969681938,0.7236733020676571,0.03747843283154337,2.5494069451656007,100.0,152,148,150,151,152,147
102,0.7185580089571189,0.7236733020676571,0.0201349553034126,2.5694069451656008,100.0,151,153,150,150,146,150
103,0.7120267850339996,0.7236733020676571,0.0318894433234633,2.551629167387823,100.0,149,150,153,150,148,150
104,0.7081806426762902,0.7236733020676571,0.03683179811217893,2.5427402784989335,100.0,156,150,148,149,150,147
105,0.7076612195177677,0.7236733020676571,0.03705939433363406,2.533851389610045,100.0,150,149,147,151,152,151
106,0.7086310391694686,0.7236733020676571,0.03547930238516775,2.536073611832267,100.0,152,151,149,150,149,149
107,0.7131203584353778,0.7236733020676571,0.029876199800047767,2.5560736118322676,100.0,149,150,151,150,152,148
108,0.7109434075718425,0.7236733020676571,0.033348943525980765,2.542740278498934,100.0,153,152,146,154,149,146
109,0.7123783664485135,0.7236733020676571,0.03056888309251265,2.5494069451656007,100.0,150,147,152,156,149,146
110,0.7083385473691984,0.7236733020676571,0.03718035333583682,2.5405180562767113,100.0,152,145,153,150,154,146
111,0.7092481058672078,0.7236733020676571,0.037615166114204714,2.544962500721156,100.0,154,153,148,150,148,147
112,0.7132762854768009,0.7236733020676571,0.0303415559135771,2.556073611832267,100.0,151,154,151,144,151,149
113,0.7104975558414727,0.7236733020676571,0.033566683997834454,2.5427402784989335,100.0,148,151,151,151,150,149
114,0.7111292805201415,0.7236733020676571,0.03254738599422268,2.544962500721156,100.0,147,152,150,154,151,146
115,0.717739668895296,0.7236733020676571,0.022314891330112857,2.567184722943378,100.0,151,149,149,151,149,151
116,0.7104339337069301,0.7236733020676571,0.03256082964860103,2.5405180562767113,100.0,149,148,150,153,150,150
117,0.7132310285458817,0.7236733020676571,0.031215398469296537,2.5494069451656003,100.0,153,151,150,149,149,148
118,0.7095650288818062,0.7236733020676571,0.034530668147412215,2.5427402784989335,100.0,150,152,152,151,146,149
119,0.7087328587384522,0.7236733020676571,0.0358637721340782,2.5405180562767113,100.0,154,151,150,146,151,148
120,0.7102015160017765,0.7236733020676571,0.03507578034303318,2.547184722943378,100.0,152,150,151,149,150,148
121,0.7094101944010125,0.7236733020676571,0.034956157961659684,2.5449625007211556,100.0,148,153,149,148,152,150
122,0.7112846135650404,0.7236733020676571,0.03442281471440302,2.547184722943378,100.0,150,152,150,149,151,148
123,0.7117960967479148,0.7236733020676571,0.0325029395927655,2.544962500721156,100.0,154,153,149,149,146,149
