generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_speed_sweeper,archetype_defensive_wall,archetype_generalist,archetype_fast_attacker,archetype_defensive_pivot,archetype_balanced_all-rounder
208,0.714166206114117,0.7239386633195667,0.025471125092782373,1.7866967920488788,98.0,149,3.0,445,,146,157
209,0.7140326186974115,0.7239386633195667,0.023394617375798135,1.798101972611646,98.66666666666667,147,4.0,442,3.0,146,158
210,0.714120267954741,0.7239386633195667,0.02409581874657305,1.7886683892831199,98.66666666666667,151,6.0,446,2.0,144,151
211,0.717499725828244,0.7239386633195667,0.01971694777516329,1.7933634587155454,98.66666666666667,148,3.0,445,3.0,148,153
212,0.7181156780902958,0.7239386633195667,0.019481207828933804,1.7814135837131415,99.33333333333333,150,,450,2.0,150,148
213,0.7169294649222775,0.7239386633195667,0.021325856193978796,1.8005748198218487,97.33333333333333,147,,443,6.0,149,155
214,0.716527682005012,0.7239386633195667,0.02229074498429474,1.7900518476140497,100.0,153,,443,2.0,147,155
215,0.7172709167063084,0.7239386633195667,0.018212913908270588,1.7827970420440709,98.0,149,1.0,447,4.0,146,153
216,0.7159412161489102,0.7239386633195667,0.020765154465165178,1.7781019726116454,97.33333333333333,146,2.0,448,2.0,149,153
217,0.7147559035975689,0.7239386633195667,0.0236063562062586,1.7647686392783124,98.0,147,1.0,454,2.0,146,150
218,0.7134944205540914,0.7239386633195667,0.024805698792075833,1.7689624587347759,96.66666666666667,148,1.0,449,3.0,150,149
219,0.7134692813483035,0.7239386633195667,0.025821944918786564,1.7822957920681097,100.0,152,1.0,447,3.0,144,153
220,0.7149832326389168,0.7239386633195667,0.023664355145209585,1.7769691392686968,98.0,148,,450,5.0,149,148
221,0.7126298695972283,0.7239386633195667,0.027016716684138676,1.7731128337275643,97.33333333333333,146,2.0,452,6.0,150,144
222,0.716212751017825,0.7239386633195667,0.02102555447106149,1.7883308753677887,100.0,151,1.0,447,7.0,143,151
223,0.7140667230491141,0.7239386633195667,0.023609130100164778,1.7778513476236648,97.33333333333333,147,1.0,447,5.0,149,151
224,0.7140036129393748,0.7239386633195667,0.024363616020098573,1.785607403169605,99.33333333333333,150,1.0,443,1.0,146,159
225,0.7164283859512364,0.7239386633195667,0.019770625723630877,1.795040986498131,98.0,147,2.0,441,3.0,150,157
