role_prior,archetype,pokemon_count
special_sweeper,Speed Sweeper,4
breaker,Physical Attacker,2
bulky_wincon,Defensive Tank,2
physical_sweeper,Speed Sweeper,2
bulky_pivot,Balanced All-Rounder,1
defensive_wall,Defensive Tank,1
fast_pivot,Fast Attacker,1
mixed_balanced,Generalist,1
physical_sweeper,Physical Attacker,1
