generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_speed_sweeper,archetype_physical_attacker,archetype_balanced_all-rounder,archetype_defensive_tank,archetype_generalist,archetype_fast_attacker
0,0.29674014413558125,0.5565458587138318,0.5004249363222597,1.7846149450117532,82.66666666666667,220,187,115,169,91,118
1,0.42722706173146613,0.6034345549023453,0.14612851524373976,1.9542223061949804,78.66666666666667,169,166,134,170,126,135
2,0.4249328635357104,0.6401609497783866,0.3065204640791804,2.019254889542737,76.0,151,126,161,181,138,143
3,0.43928874711876414,0.6401609497783866,0.23628460683865093,2.0448321673301297,82.66666666666667,164,127,148,168,152,141
4,0.4418717206700012,0.6401609497783866,0.3418494219689951,2.1165314173445533,84.0,171,124,136,156,168,145
5,0.45066117239219067,0.6401609497783866,0.47642683491366883,2.2018580701439654,90.66666666666667,186,120,121,150,167,156
6,0.5241401463197406,0.6401609497783866,0.2067778194170914,2.2824462090472775,94.66666666666667,195,132,116,145,160,152
7,0.45261985233921753,0.6401609497783866,0.35649666796448887,2.2646684312695,91.33333333333333,188,145,120,148,154,145
8,0.47776754047814507,0.6401609497783866,0.3040737098067567,2.280768681264692,91.33333333333333,188,152,100,157,152,151
9,0.522758107905651,0.6401609497783866,0.2371287264262719,2.33716300071154,95.33333333333333,183,143,116,165,146,147
10,0.4949535592600277,0.6401609497783866,0.32340798415482036,2.3549407784893184,94.0,176,148,124,145,149,158
11,0.5338605983609276,0.6401609497783866,0.2614672223778841,2.412718556267096,93.33333333333333,169,137,147,146,147,154
12,0.5791077219224102,0.6401609497783866,0.21585883003720727,2.5160736118322666,97.33333333333333,152,153,148,150,143,154
13,0.6161053331024464,0.6401609497783866,0.12051798206912986,2.5427402784989335,97.33333333333333,154,154,149,149,146,148
14,0.631772172014101,0.6401609497783866,0.03985534612212118,2.5560736118322676,98.0,149,152,151,151,148,149
15,0.6232064498487341,0.6401609497783866,0.08352246913302135,2.544962500721156,98.0,149,152,151,155,147,146
16,0.5594091745805853,0.6442466381658143,0.36170710299888115,2.536073611832267,97.33333333333333,148,151,145,151,152,153
17,0.6096910412011295,0.6442466381658143,0.15986862197179447,2.547184722943378,98.0,151,150,150,153,144,152
18,0.6106220124729844,0.6442466381658143,0.15511742949572258,2.547184722943378,98.66666666666667,150,149,151,149,152,149
19,0.6133562141181642,0.6442466381658143,0.13397491801494096,2.527184722943378,98.0,155,151,147,148,148,151
20,0.6169531857017917,0.6442466381658143,0.139476334432515,2.5449625007211556,96.66666666666667,152,151,147,153,147,150
21,0.6260696520452858,0.6493765754766246,0.08977859001470274,2.542740278498933,98.66666666666667,151,154,149,154,144,148
22,0.636581529105936,0.6493765754766246,0.026207860017499165,2.5582958340544892,99.33333333333333,152,149,148,149,149,153
23,0.630481028973168,0.6493765754766246,0.036915835872293405,2.542740278498934,99.33333333333333,152,151,144,153,151,149
24,0.609069542006725,0.6493765754766246,0.2285586703132793,2.5494069451656007,100.0,155,149,151,147,147,151
25,0.6264724102229331,0.649718103793963,0.1039227920872956,2.542740278498934,99.33333333333333,153,149,147,151,152,148
26,0.6316916685327557,0.649718103793963,0.09305232750541247,2.5516291673878224,98.0,152,150,152,146,148,152
27,0.6341811463866827,0.649718103793963,0.07117344359731886,2.553851389610045,97.33333333333333,147,155,148,149,149,152
28,0.6310497780478851,0.649718103793963,0.09440050267633598,2.551629167387823,98.0,150,152,149,148,150,151
29,0.5990836183257987,0.6499642651828201,0.2133970348786985,2.533851389610045,98.66666666666667,153,153,144,144,150,156
30,0.6228765183630338,0.6499642651828201,0.17980003704769892,2.5494069451656003,98.0,153,150,149,149,148,151
31,0.6105762289181831,0.6499642651828201,0.23612278169251666,2.5494069451656003,99.33333333333333,151,152,149,149,150,149
32,0.6167817463432614,0.6499642651828201,0.1471540802633357,2.5516291673878224,100.0,153,151,147,151,147,151
33,0.6051225084860192,0.6499642651828201,0.20199346526614462,2.553851389610045,98.0,149,148,149,151,151,152
34,0.6142774255383514,0.6499642651828201,0.22056844827191047,2.538295834054489,98.66666666666667,153,151,147,147,150,152
35,0.6051535960542758,0.6499642651828201,0.23236573458315712,2.542740278498933,98.66666666666667,152,154,145,146,149,154
36,0.6085228399063772,0.6499642651828201,0.22035686954246742,2.542740278498934,98.0,151,152,152,150,150,145
37,0.6235274388789069,0.6592362599097781,0.14183457196748134,2.556073611832267,98.0,152,147,151,148,153,149
38,0.6023579368083862,0.6592362599097781,0.23247267147064016,2.5405180562767113,98.0,156,152,146,150,148,148
39,0.6350561561391074,0.6592362599097781,0.06192741604138452,2.551629167387823,97.33333333333333,150,151,151,153,148,147
40,0.6262617022155624,0.6592362599097781,0.11882838799986967,2.5516291673878224,99.33333333333333,154,151,149,150,150,146
41,0.6227900047926801,0.6592362599097781,0.16954391361412477,2.5427402784989335,98.0,149,151,151,153,149,147
42,0.6369466969100938,0.6592362599097781,0.07481380966745556,2.542740278498934,98.0,155,149,148,151,149,148
43,0.6300493372656846,0.6592362599097781,0.1244376681413573,2.547184722943378,98.0,151,148,148,151,149,153
44,0.6382183375375492,0.6592362599097781,0.12048914221864565,2.553851389610045,98.66666666666667,150,154,150,148,148,150
45,0.6243006303850446,0.6592362599097781,0.20788746708182262,2.5449625007211556,100.0,159,148,147,150,149,147
46,0.6174877483968818,0.6592362599097781,0.25845579564760734,2.5360736118322675,97.33333333333333,150,154,148,152,146,150
47,0.6397240046310416,0.6592362599097781,0.09432373306888985,2.5582958340544892,98.66666666666667,150,150,151,154,147,148
48,0.6330337874993864,0.6592362599097781,0.09999185383994913,2.5516291673878224,98.66666666666667,151,151,145,153,150,150
49,0.6464074078819816,0.6592362599097781,0.03193334232548169,2.538295834054489,96.0,149,150,150,152,149,150
50,0.6388080852713554,0.6629205187753073,0.0882827007501394,2.5427402784989335,98.0,153,149,151,151,146,150
51,0.6346916659666436,0.6629205187753073,0.12810410806995984,2.542740278498933,99.33333333333333,153,153,148,143,152,151
52,0.6444566179519801,0.6629205187753073,0.04602460666869127,2.5449625007211556,98.0,154,151,150,148,148,149
53,0.5987437235467993,0.6629205187753073,0.3045472137334374,2.5405180562767113,100.0,157,149,146,149,148,151
54,0.622042466583885,0.6629205187753073,0.15331139369792782,2.5316291673878224,98.66666666666667,154,153,153,150,143,147
55,0.6399376613891691,0.6629963778266866,0.16372268849760674,2.5560736118322676,98.0,148,150,149,152,152,149
56,0.6389103072945216,0.6629963778266866,0.09656156990101768,2.5449625007211556,98.0,150,146,149,155,151,149
57,0.6183659980429757,0.6629963778266866,0.22563146854050414,2.544962500721156,95.33333333333333,150,151,150,151,147,151
58,0.6310828037499346,0.6629963778266866,0.20197193898736268,2.544962500721156,99.33333333333333,155,148,147,151,152,147
59,0.6523293477143373,0.6629963778266866,0.0298223928210754,2.547184722943378,98.0,150,153,149,151,150,147
60,0.6516049634029302,0.6629963778266866,0.030103101957508194,2.5405180562767113,97.33333333333333,149,155,151,148,150,147
