generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_speed_sweeper,archetype_physical_attacker,archetype_balanced_all-rounder,archetype_defensive_tank,archetype_generalist,archetype_fast_attacker
61,0.6520923968051988,0.683657838482336,0.0503138721379903,2.5582958340544892,98.66666666666667,150,151,151,150,147,151
62,0.6521923050302895,0.683657838482336,0.03448732666230536,2.5494069451656007,97.33333333333333,150,147,152,149,152,150
63,0.6582500961490352,0.683657838482336,0.027287201718946864,2.556073611832267,100.0,152,151,150,153,147,147
64,0.6565135887789711,0.683657838482336,0.08008283680438577,2.5494069451656007,98.66666666666667,150,148,146,153,152,151
65,0.6645715812806268,0.683657838482336,0.03457476600293484,2.5405180562767113,98.0,149,146,151,155,147,152
66,0.6615059091928871,0.683657838482336,0.09758195632383407,2.5427402784989335,94.66666666666667,145,155,150,151,147,152
67,0.6659201908103806,0.683657838482336,0.061173490005441464,2.5494069451656003,97.33333333333333,151,152,150,148,150,149
68,0.6692543281195715,0.683657838482336,0.033486505680969385,2.5449625007211556,99.33333333333333,153,154,151,147,150,145
69,0.6693625025314194,0.683657838482336,0.08004347118373908,2.5582958340544892,100.0,153,150,149,151,148,149
70,0.6695094965805717,0.683657838482336,0.03373993251638253,2.5449625007211556,98.0,154,155,145,149,149,148
71,0.6662430584790268,0.683657838482336,0.04770595125099557,2.536073611832267,95.33333333333333,149,148,151,154,151,147
72,0.6688685333962308,0.683657838482336,0.03456995765821016,2.533851389610045,97.33333333333333,152,151,149,146,150,152
73,0.6694747045320804,0.683657838482336,0.03515283998957676,2.538295834054489,98.66666666666667,157,147,151,147,148,150
74,0.6637027967335279,0.6914105681993898,0.09490525407399829,2.5449625007211556,95.33333333333333,147,150,153,150,150,150
75,0.673836075052996,0.6914105681993898,0.029416489822911406,2.553851389610045,98.66666666666667,152,152,149,150,148,149
76,0.6577878454480646,0.6914105681993898,0.12602510687275695,2.5316291673878224,96.66666666666667,150,149,154,151,150,146
77,0.6718954136958565,0.6914105681993898,0.03499439748682248,2.538295834054489,98.0,156,151,147,148,151,147
78,0.6797932721782693,0.6914105681993898,0.02831378588637777,2.5605180562767114,99.33333333333333,151,155,151,149,147,147
79,0.6691938589798943,0.6914105681993898,0.08238114441881038,2.547184722943378,99.33333333333333,156,153,145,151,147,148
80,0.6639251362395171,0.6914105681993898,0.1665362604402479,2.538295834054489,99.33333333333333,159,148,147,149,147,150
81,0.6721937699211757,0.6914105681993898,0.05504694258273872,2.5405180562767113,97.33333333333333,154,148,146,153,149,150
82,0.6670140609015504,0.6914105681993898,0.14593618891099525,2.544962500721156,98.0,148,151,147,154,148,152
83,0.6724974023685172,0.6914105681993898,0.11440277856946672,2.5582958340544892,98.0,151,152,148,149,151,149
84,0.6679027160417875,0.6914105681993898,0.09257422014924517,2.5316291673878224,98.66666666666667,158,146,150,150,147,149
85,0.6799771601455031,0.6914105681993898,0.030370633841144967,2.544962500721156,97.33333333333333,147,147,152,152,149,153
86,0.6629006757431002,0.6914105681993898,0.1807639729508886,2.5582958340544892,98.66666666666667,149,150,153,148,150,150
87,0.6714653444617343,0.6914105681993898,0.11329200590743928,2.553851389610045,98.0,151,146,150,151,152,150
88,0.6663743134414384,0.6914105681993898,0.13046033209998556,2.5494069451656007,98.66666666666667,155,153,147,149,148,148
89,0.6665021161845958,0.6914105681993898,0.12478009303770124,2.5360736118322675,97.33333333333333,155,150,150,151,147,147
90,0.6739087118837597,0.6914105681993898,0.05890477196007839,2.538295834054489,100.0,158,148,152,149,144,149
91,0.665518719410764,0.6914105681993898,0.16770316788055736,2.544962500721156,97.33333333333333,154,153,150,146,148,149
92,0.6774694269642788,0.6914105681993898,0.04868237503889284,2.5582958340544892,99.33333333333333,152,151,150,149,147,151
93,0.6646767668540647,0.6914105681993898,0.11158886846938848,2.533851389610045,96.66666666666667,153,147,151,148,151,150
94,0.6809971814017579,0.6914105681993898,0.03129639334819117,2.553851389610045,98.66666666666667,155,148,149,150,149,149
95,0.6771755837983169,0.6914105681993898,0.033510491379302045,2.533851389610045,98.0,152,154,147,146,152,149
96,0.6703845286424797,0.6914105681993898,0.09137592484147881,2.547184722943378,100.0,156,153,149,151,145,146
97,0.6774261072100224,0.6914105681993898,0.034863362511329925,2.5405180562767113,96.66666666666667,149,149,147,154,152,149
98,0.6663266776206952,0.6914105681993898,0.10394770061120387,2.5360736118322675,96.0,148,150,150,150,151,151
99,0.680172092225583,0.6914105681993898,0.03207179402825545,2.5516291673878224,98.66666666666667,153,146,150,150,151,150
100,0.6668109835301618,0.6914105681993898,0.11808565223964572,2.5405180562767113,97.33333333333333,151,148,148,149,150,154
