generation,mean_fitness,max_fitness,std_fitness,mean_entropy,rare_archetype_percent,archetype_defensive_wall,archetype_speed_sweeper,archetype_fast_attacker,archetype_defensive_pivot,archetype_balanced_all-rounder,archetype_generalist
232,0.6374200180258353,0.6487601334413411,0.029474433904995875,2.2338513896100447,98.0,5,156,148,151,147,293.0
233,0.6375142372082475,0.6487601334413411,0.02828145188771517,2.2463459590520856,99.33333333333333,9,152,150,152,147,290.0
234,0.6396973007965773,0.6487601334413411,0.023435461778992535,2.244123736829863,100.0,6,156,150,149,148,291.0
235,0.6405524732317498,0.6487601334413411,0.024027200922864474,2.2396792923854183,99.33333333333333,3,154,153,148,150,292.0
236,0.6393849961340397,0.6487601334413411,0.02568748543577581,2.2485681812743077,99.33333333333333,10,149,149,150,148,294.0
237,0.638367238658606,0.6487601334413411,0.02669156344236864,2.2255071951607923,98.66666666666667,5,152,149,152,143,299.0
238,0.6384920219796082,0.6487601334413411,0.02582292802094476,2.2449625007211558,98.66666666666667,9,152,149,151,146,293.0
239,0.637959095530537,0.6487601334413411,0.027116461684718415,2.2343960840496813,98.66666666666667,6,151,150,149,146,298.0
240,0.6398362317624605,0.6487601334413411,0.02379195102607404,2.2405180562767115,100.0,7,152,151,149,144,297.0
241,0.6396355757609766,0.6487601334413411,0.027484954705703814,2.237457070163196,99.33333333333333,5,153,146,149,150,297.0
242,0.6391711967627105,0.6487601334413411,0.025978223015500172,2.233557320158389,99.33333333333333,4,154,146,151,150,295.0
243,0.6360663559186185,0.6487601334413411,0.030063489302022985,2.2268906534917217,97.33333333333333,2,153,146,153,153,293.0
244,0.640817065840995,0.6487601334413411,0.0229852973050878,2.2338513896100443,98.0,5,152,149,150,146,298.0
245,0.6362660246787157,0.6487601334413411,0.028306965939385653,2.244123736829863,98.66666666666667,10,148,148,154,148,292.0
246,0.6387153116369942,0.6487601334413411,0.028831699620734005,2.2485681812743077,99.33333333333333,9,150,148,148,150,295.0
247,0.6390164125053343,0.6487601334413411,0.02458662170268162,2.237457070163196,99.33333333333333,6,151,151,153,146,293.0
248,0.6388839638335336,0.6487601334413411,0.0260133290262625,2.232173861827459,99.33333333333333,6,152,150,146,150,296.0
249,0.6382039245279832,0.6487601334413411,0.027388288814352176,2.237457070163196,98.0,8,149,148,149,149,297.0
250,0.6409692669555024,0.6487601334413411,0.022663995976145185,2.2449625007211558,98.66666666666667,3,152,153,150,149,293.0
