role_prior,archetype,pokemon_count
mixed_balanced,Generalist,4
breaker,Physical Attacker,3
physical_sweeper,Speed Sweeper,3
defensive_wall,Defensive Tank,2
fast_pivot,Fast Attacker,2
physical_sweeper,Physical Attacker,2
bulky_pivot,Balanced All-Rounder,1
special_sweeper,Speed Sweeper,1
